cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
smq5r6ck,nan,WHO,Learning Active Implementation Frameworks: the role of implementation teams in a case study from Pakistan,nan,nan,nan,unk,"In Pakistan, although coverage of Maternal, Newborn, and Child Health (MNCH) services has increased, the attributable disease burden remains high, indicating quality of these services remains suboptimal. To address this quality gap, challenges associated with the implementation of MNCH services will need to be addressed and effective use of the various MNCH guidelines will need to be supported, evaluated, and continuously improved. Even though the application of the field of implementation science and practice in the low- and middle-income settings has been limited, it is our belief, based on the experience described in this article that these competencies could enhance health professionals' ability to, not only successfully integrate MNCH guidelines into health systems, but to also support their effective and sustainable use. To address this capacity gap in Pakistan, the Health Services Academy, as a member of the World Health Organization's Human Reproduction Program (HRP) Alliance for Research Capacity Strengthening (RCS), has engaged, over the course of 16 months, in the 'Implementation for the Professional Learner Program' in 2019. This innovative implementation science and practice capacity-building program is developed and conducted by The World Health Organization (WHO) Collaborating Centre for Research Evidence for Sexual and Reproductive Health at the University of North Carolina at Chapel Hill (UNC). The initial cohort of this Program also included Palestine's West Bank, and Egypt. The objectives of this Program were to cultivate implementation science and practice competencies, and to support the development of national, community-based or institution-based implementation teams. The expected outcomes of this program included, further enhancement of the capacity of local health professionals in implementation science, systemic change and the effective use of innovations in practice at sub-national/regional levels.",2020,"Hamid, Saima; Mureed, Sheh; Kayani, Aasia; Javed, Kiran; Khan, Adnan; Awais, Sayema; Khan, Neelam; Tus-Salam, Fakiha; Fixsen, Dean L",Glob Health Action,nan,#731368,nan,nan,nan,nan,221305659.0
bg4ynsrq,08bd8abbaf9b3ae183bcfc35a163429cf0cbd274,ArXiv,Study of genetic mutations and dynamic spread of SARS-CoV-2 pandemic and prediction of its evolution according to the SIR model,nan,nan,nan,arxiv,"In this work, we aim to study that the dynamics behavior for cumulative number of SARS-CoV-2 pandemic can provide information on the overall behavior of the spread over daily time.The cumulative data can be synthesized in an empirical form obtained from a Susceptible-Infected-Recovered (SIR) model previously studied on a Euclidean network. From the study we carried out, we can conclude that the SIR model on the Euclidean network can reproduce data from several countries with a deviation of precision for given parameter values. This gives an insight into the different agents that influence the behavior of SARS-CoV-2 especially during the virus mutation period. We are thus trying to analyze the effect of genetic mutations in different countries, and how a specific mutation can make the virus more contagious.",2020-11-13,"Mohamad, Hamieh; Mary, Doumit; Joumana, Toufaily; Tayssir, Hamieh",nan,nan,nan,2011.06694,document_parses/pdf_json/08bd8abbaf9b3ae183bcfc35a163429cf0cbd274.json,nan,https://arxiv.org/pdf/2011.06694v1.pdf,226955821.0
6s2juliu,nan,Medline,Patency of femoral tunneled hemodialysis catheters and factors predictive of patency failure.,10.1007/s00270-011-0316-6,nan,22139368,unk,"PURPOSE To determine the patency rates of and factors associated with increased risk of patency failure in patients with femoral vein tunneled hemodialysis catheters. METHODS All femoral tunneled catheter insertions from 1996 to 2006 were reviewed, during which time 123 catheters were inserted. Of these, 66 were exchanges. Patients with femoral catheter failure versus those with femoral catheter patency were compared. Confounding factors, such as demographic and procedural factors, were incorporated and assessed using univariate and multivariable Cox proportional hazards regression analyses. RESULTS Mean catheter primary patency failure time was 96.3 days (SE 17.9 days). Primary patency at 30, 60, 90, and 180 days was 53.8%, 45.4%, 32.1%, and 27.1% respectively. Crude rates of risk of catheter failure did not suggest a benefit for patients receiving catheters introduced from one side versus the other, but more cephalad location of catheter tip was associated with improved patency. Multivariate analysis showed that patients whose catheters were on the left side (p = 0.009), were of increasing age at the time of insertion (p = 0.002) and that those who had diabetes (p = 0.001) were at significantly greater risk of catheter failure. The catheter infection rate was 1.4/1000 catheter days. CONCLUSION Patients who were of a more advanced age and had diabetes were at greater risk of femoral catheter failure, whereas those who received femoral catheters from the right side were less at risk of catheter failure.",2012,"Burton, Kirsteen R; Guo, Lancia L Q; Tan, Kong T; Simons, Martin E; Sniderman, Kenneth W; Kachura, John R; Beecroft, John R; Rajan, Dheeraj K",Cardiovascular and interventional radiology,nan,nan,nan,nan,nan,https://doi.org/10.1007/s00270-011-0316-6; https://www.ncbi.nlm.nih.gov/pubmed/22139368/,25069807.0
j4jkn6ka,bd6dd93085fa736cac9569090a8cb88324daf18f,Medline; PMC,"Cicadidae Periostracum, the Cast-Off Skin of Cicada, Protects Dopaminergic Neurons in a Model of Parkinson's Disease",10.1155/2019/5797512,PMC6854990,31772707.0,cc-by,"Parkinson's disease (PD) is characterized by dopaminergic neuronal loss in the substantia nigra pars compacta (SNPC) and the striatum. Nuclear receptor-related 1 protein (Nurr1) is a nuclear hormone receptor implicated in limiting mitochondrial dysfunction, apoptosis, and inflammation in the central nervous system and protecting dopaminergic neurons and a promising therapeutic target for PD. Cicadidae Periostracum (CP), the cast-off skin of Cryptotympana pustulata Fabricius, has been used in traditional medicine for its many clinical pharmacological effects, including the treatment of psychological symptoms in PD. However, scientific evidence for the use of CP in neurodegenerative diseases, including PD, is lacking. Here, we investigated the protective effects of CP on 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine- (MPTP-) induced PD in mice and explored the underlying mechanisms of action, focusing on Nurr1. CP increased the expression levels of Nurr1, tyrosine hydroxylase, DOPA decarboxylase, dopamine transporter, and vesicular monoamine transporter 2 via extracellular signal-regulated kinase phosphorylation in differentiated PC12 cells and the mouse SNPC. In MPTP-induced PD, CP promoted recovery from movement impairments. CP prevented dopamine depletion and protected against dopaminergic neuronal degradation via mitochondria-mediated apoptotic proteins such as B-cell lymphoma 2 (Bcl-2), Bcl-2-associated X, cytochrome c, and cleaved caspase-9 and caspase-3 by inhibiting MPTP-induced neuroinflammatory cytokines, inducible nitric oxide synthase, cyclooxygenase 2, and glial/microglial activation. Moreover, CP inhibited lipopolysaccharide-induced neuroinflammatory cytokines and response levels and glial/microglial activation in BV2 microglia and the mouse brain. Our findings suggest that CP might contribute to neuroprotective signaling by regulating neurotrophic factors primarily via Nurr1 signaling, neuroinflammation, and mitochondria-mediated apoptosis.",2019-10-24,"Lim, Hye-Sun; Kim, Joong-Sun; Moon, Byeong Cheol; Choi, Goya; Ryu, Seung Mok; Lee, Jun; Ang, Mary Jasmin; Jeon, Mijin; Moon, Changjong; Park, Gunhyuk",Oxid Med Cell Longev,nan,nan,nan,document_parses/pdf_json/bd6dd93085fa736cac9569090a8cb88324daf18f.json,document_parses/pmc_json/PMC6854990.xml.json,https://doi.org/10.1155/2019/5797512; https://www.ncbi.nlm.nih.gov/pubmed/31772707/,208072783.0
64mjq38f,nan,WHO,The RIF1-long splice variant promotes G1 phase 53BP1 nuclear bodies to protect against replication stress,nan,nan,nan,unk,"Human cells lacking RIF1 are highly sensitive to replication inhibitors, but the reasons for this sensitivity have been enigmatic. Here, we show that RIF1 must be present both during replication stress and in the ensuing recovery period to promote cell survival. Of two isoforms produced by alternative splicing, we find that RIF1-Long alone can protect cells against replication inhibition, but RIF1-Short is incapable of mediating protection. Consistent with this isoform-specific role, RIF1-Long is required to promote the formation of the 53BP1 nuclear bodies that protect unrepaired damage sites in the G1 phase following replication stress. Overall, our observations show that RIF1 is needed at several cell cycle stages after replication insult, with the RIF1-Long isoform playing a specific role during the ensuing G1 phase in damage site protection.",2020,"Watts, Lotte P; Natsume, Toyoaki; Saito, Yuichiro; Garzon, Javier; Dong, Qianqian; Boteva, Lora; Gilbert, Nick; Kanemaki, Masato T; Hiraga, Shin-Ichiro; Donaldson, Anne D",eLife (Cambridge),nan,#33141022,nan,nan,nan,nan,214043025.0
qafrfunp,nan,Medline,Tyr82 Amino Acid Mutation in PB1 Polymerase Induces an Influenza Virus Mutator Phenotype.,10.1128/jvi.00834-19,nan,31462570.0,unk,"In various positive-sense single-stranded RNA viruses, a low-fidelity viral RNA-dependent RNA polymerase (RdRp) confers attenuated phenotypes by increasing the mutation frequency. We report a negative-sense single-stranded RNA virus RdRp mutant strain with a mutator phenotype. Based on structural data of RdRp, rational targeting of key residues, and screening of fidelity variants, we isolated a novel low-fidelity mutator strain of influenza virus that harbors a Tyr82-to-Cys (Y82C) single amino acid substitution in the PB1 polymerase subunit. The purified PB1-Y82C polymerase indeed showed an increased frequency of misincorporation compared with the wild-type PB1 in an in vitro biochemical assay. To further investigate the effects of position 82 on PB1 polymerase fidelity, we substituted various amino acids at this position. As a result, we isolated various novel mutators other than PB1-Y82C with higher mutation frequencies. The structural model of influenza virus polymerase complex suggested that the Tyr82 residue, which is located at the nucleoside triphosphate entrance tunnel, may influence a fidelity checkpoint. Interestingly, although the PB1-Y82C variant replicated with wild-type PB1-like kinetics in tissue culture, the 50% lethal dose of the PB1-Y82C mutant was 10 times lower than that of wild-type PB1 in embryonated chicken eggs. In conclusion, our data indicate that the Tyr82 residue of PB1 has a crucial role in regulating polymerase fidelity of influenza virus and is closely related to attenuated pathogenic phenotypes in vivo ImportanceInfluenza A virus rapidly acquires antigenic changes and antiviral drug resistance, which limit the effectiveness of vaccines and drug treatments, primarily owing to its high rate of evolution. Virus populations formed by quasispecies can contain resistance mutations even before a selective pressure is applied. To study the effects of the viral mutation spectrum and quasispecies, high- and low-fidelity variants have been isolated for several RNA viruses. Here, we report the discovery of a low-fidelity RdRp variant of influenza A virus that contains a substitution at Tyr82 in PB1. Viruses containing the PB1-Y82C substitution showed growth kinetics and viral RNA synthesis levels similar to those of the wild-type virus in cell culture; however, they had significantly attenuated phenotypes in a chicken egg infection experiment. These data demonstrated that a decreased RdRp fidelity attenuates influenza A virus in vivo, which is a desirable feature for the development of safer live-attenuated vaccine candidates.",2019,"Naito, Tadasuke; Shirai, Kazumasa; Mori, Kotaro; Muratsu, Hidetaka; Ushirogawa, Hiroshi; Ohniwa, Ryosuke L; Hanada, Kousuke; Saito, Mineki",Journal of virology,nan,nan,nan,nan,nan,https://doi.org/10.1128/jvi.00834-19; https://www.ncbi.nlm.nih.gov/pubmed/31462570/,201669623.0
ybda0gkk,nan,WHO,COVID-19 pandemic: report on the use of auriculotherapy to optimize emergency workers' health,nan,nan,nan,unk,"OBJECTIVE: To report the use of auriculotherapy to optimize emergency workers' health during the COVID-19 pandemic. METHODS: Experience report of auriculotherapy application in 48 workers of a mobile emergency care service center located in a city in the Northeast of Brazil. RESULTS: Six auriculotherapy sessions were held, each lasting eight minutes, based on specific protocols in the area and Chinese energy physiology. The aim of the practice was to contribute to the improvement of physical (pain) and emotional (anxiety, stress) symptoms, and the promotion of greater health and willingness to work. In addition, the experimentation of this practice was thought of as a pilot for the creation of a care service for workers. FINAL CONSIDERATIONS: In the report of auriculotherapy, the description of its application and its positive and negative points in relation to professionals working in the pandemic scenario were considered and its continuity was requested.",2020,"Trigueiro, Rosiane Lopes; Araújo, Açucena Leal de; Moreira, Thereza Maria Magalhães; Florêncio, Raquel Sampaio",Rev Bras Enferm,nan,#969716,nan,nan,nan,nan,228079093.0
tawphgb7,nan,Medline,Effects of resistance training on self-reported disability in older adults with functional limitations or disability - a systematic review and meta-analysis.,10.1186/s11556-019-0230-5,nan,31867068.0,cc-by,"Background Self-reported disability has a strong negative impact on older people's quality of life and is often associated with the need for assistance and health care services. Resistance training (RT) has been repeatedly shown to improve muscle function (e.g. strength) and functional capacity (e.g. gait speed, chair-rise) in older adults with functional limitations. Nevertheless, it is unclear whether such objectively assessed improvements translate into a reduction in self-reported disability. Objectives To assess: i) whether and to what extent RT interventions have an effect on self-reported disability in older adults (≥65 years) with functional limitations or disability; and ii) whether the effects on self-reported disability are associated with changes in objective measures of muscle strength and functional capacity across studies. Methods PubMed, Embase, Web of Science, CINAHL and SPORTDiscus electronic databases were searched in June 2018. Randomized controlled trials reporting effects of RT on self-reported disability/function in ≥65 year-old adults with defined, functional limitations or self-reported disability were eligible. Data on self-reported disability/function were pooled by calculating adjusted standardized mean differences (SMD) using Hedges'g. Likewise, effect sizes for three secondary outcomes: knee extensor muscle strength; gait capacity; and lower body functional capacity were calculated and fit as covariates in separate meta-regressions with self-reported disability as the dependent factor. Results Fourteen RCTs were eligible for the primary meta-analysis on self-reported disability. The total number of participants was 651 (intervention n = 354; control n = 297). A significant moderate positive effect of RT was found (SMD: 0.59, 95% CI: 0.253 to 0.925, p = 0.001). Between-study heterogeneity was present (I2 statistic = 75,1%, p < 0.001). RT effects on objective measures of lower body functional capacity were significantly associated with effects on self-reported disability (Adj. R2 = 99%, p = 0.002, n = 12 studies), whereas no significant associations with gait capacity or knee extensor strength were found. Conclusions This review provides evidence that RT has a moderate positive effect on self-reported disability/function in old people with or at risk for disability. The effects are strongly associated with effects on objective measures of lower body functional capacity.",2019,"Olsen, Pia Øllgaard; Termannsen, Anne-Ditte; Bramming, Maja; Tully, Mark A; Caserotti, Paolo",European review of aging and physical activity : official journal of the European Group for Research into Elderly and Physical Activity,nan,nan,nan,nan,nan,https://doi.org/10.1186/s11556-019-0230-5; https://www.ncbi.nlm.nih.gov/pubmed/31867068/,208746366.0
8b697wfy,nan,WHO,Uncertainty from COVID-19 delays progress on the road to value-based cancer care,nan,nan,nan,unk,"COVID-19 has created a significant distraction from normal practice operations. The uncertainty that comes along with the pandemic is a huge worry, and can distract from practice transformation.",2020,"Neubauer, Marcus; Jones, Ben",Am J Manag Care,nan,#1006033,nan,nan,nan,nan,228095415.0
heo6mtxk,d84f1c9036052ca0d9f8216cac4c5118ad8cea19,PMC,Half-Life of African Swine Fever Virus in Shipped Feed,10.3201/eid2512.191002,PMC6874236,31524583,no-cc,"African swine fever virus is transmissible through animal consumption of contaminated feed. To determine virus survival during transoceanic shipping, we calculated the half-life of the virus in 9 feed ingredients exposed to 30-day shipment conditions. Half-lives ranged from 9.6 to 14.2 days, indicating that the feed matrix environment promotes virus stability.",2019-12-31,"Stoian, Ana M.M.; Zimmerman, Jeff; Ji, Ju; Hefley, Trevor J.; Dee, Scott; Diel, Diego G.; Rowland, Raymond R.R.; Niederwerder, Megan C.",Emerg Infect Dis,nan,nan,nan,document_parses/pdf_json/d84f1c9036052ca0d9f8216cac4c5118ad8cea19.json,document_parses/pmc_json/PMC6874236.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6874236/,nan
