,cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
112865,z07mn6pt,,Medline,Long-term outcomes after prophylactic use of onlay mesh in midline laparotomy.,10.1007/s10029-018-1833-x,,30288617.0,unk,"BACKGROUND The prevalence of incisional hernias (IHs) is still high after midline laparotomy (ML). There is an increasing body of evidence that prophylactic mesh placement (PMP) can be safe and efficient in the short-term outcomes, but there still are some concerns about the potential long-term complications of these meshes. This study describes our long-term PMP experience. METHODS Observational and prospective study including all patients undergoing the use of prophylactic onlay large-pore polypropylene meshes for the closure of ML since 2008 to 2014. Outcome measures included demographics, perioperative details, wound complications, recurrences, reoperations and chronic complications. RESULTS A cohort of 172 patients was analysed: 75% elective surgery, 25% emergency cases. Mean age was 68 years with mean body mass index (BMI) of 28.6 kg/m2. Wound classification: 6.4% clean; 85% clean-contaminated; 1.2% contaminated and 8.1% dirty. Follow-up of patients was up to 8 years (mean: 5 ± 1.6). Two meshes were removed due to chronic infection in first six postoperative months. Of the 13 patients (9.02%) who developed IH, 5 of them have been reoperated for IH repair without any difficulty related to previous mesh. During follow-up, 8 patients have been reoperated for other reasons and the integrity of abdominal wall was also checked. After the comparative study, higher BMI and emergency surgery were still risk factors for IH despite PMP. CONCLUSIONS In our setting, the use of polypropylene prophylactic meshes in MLs is safe, efficient and durable.",2018,"San Miguel, C; Melero, D; Jiménez, E; López, P; Robin, Á; Blázquez, L A; López-Monclús, J; González, E; Jiménez, C; García-Ureña, M Á",Hernia : the journal of hernias and abdominal wall surgery,,,,,,https://doi.org/10.1007/s10029-018-1833-x; https://www.ncbi.nlm.nih.gov/pubmed/30288617/,52919546.0
419586,a5x7h7ap,b41a0f05868ac5ec67ff7f7c3aba66eddb12506f,Medline; PMC,Barrier Techniques to Reduce Aerosolization During Cardiopulmonary Resuscitation,10.1097/cce.0000000000000161,PMC7339326,32766558.0,cc-by-nc-nd,"Preventing the dispersion of virulent particles during aerosol generating procedures has never been more relevant than during the current coronavirus pandemic. The American Heart Association released interim guidelines to assist in limiting exposure during advanced cardiovascular life support. These include maintaining a closed circuit on the ventilator for intubated patients and to use a high-efficiency particulate air filter during airway management of nonintubated patients. We developed additional modifications to the suggested guidelines such that providers are even further protected from unnecessary aerosolization, and illustrate a sample protocol for provider safety during advanced cardiovascular life support in the coronavirus pandemic. For the intubated patient, our protocol maintains the patient to the ventilator in addition to being draped with a plastic barrier over the mouth and nares. In the nonintubated patient, a plastic drape or a non-rebreather mask is used to help reduce aerosolization during manual chest compressions. Our modified protocol allows providers to perform advanced cardiac life support by further minimizing exposure risk.",2020-07-01,"Paroya, Azzam A.; Patel, Kinner M.; Ahmad, Sahar",Crit Care Explor,,,,document_parses/pdf_json/b41a0f05868ac5ec67ff7f7c3aba66eddb12506f.json,document_parses/pmc_json/PMC7339326.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/32766558/; https://doi.org/10.1097/cce.0000000000000161,220970891.0
137067,71p17sb9,,WHO,Platforms and Power: A Panel Discussion,,,,unk,"Mots clés Réglementation;Impérialisme des plateformes;Discrimination relative aux données;Travail numérique;Design spéculatif Introduction Platforms and algorithms increasingly mediate everything, from the micro level to the macro level, including our social lives (Cotter, 2019);applying for jobs (Kircher, 2020);healthcare, where algorithms are used in both the tracking and treatment of COVID-19 (Parry, 2020;Suciu, n d );culture and entertainment, where platforms and algorithms replicate or disrupt the hierarchies of the star system (Van Dijck, 2009);and politics, from political and activist communications to international relations (Bucher, 2018;Roose, n d ;Velkova & Kaun, 2019) Panelists included Sara Bannerman (McMaster University), whose work focuses on platform regulation in relation to privacy and intellectual property;Christina Baade (McMaster University), whose work focuses on the intersection between popular music, sound media, and power, with particular attention to questions of labour, gender, race, and national belonging;Rena Bivens (Carleton University), whose work focuses on the software underlying platforms and identity-based programming practices, or how identity categories are shaped by software;Leslie Regan Shade (University of Toronto), whose work examines the social and policy aspects of information and communication technologies (ICTs), with particular focus on issues of gender, youth, and political economy;Tamara Shepherd (University of Calgary), whose work focuses on the feminist political economy of digital culture, online privacy, intellectual property, and infrastructure regulation;and Andrea Zeffiro (McMaster University), whose work is concerned with how social, political, and economic processes normalize behaviours and attitudes about the value of datafication, and how systems of power, in/justice, and in/equity are sustained through the quantification of collective life The context for the discussion reflects the Canadian regulatory landscape, oriented primarily around the main media and communications regulator at the federal level, the Canadian Radio-television and Telecommunications Commission (CRTC) and other government agencies also implicated in the regulation of platforms-for example, the Office of the Privacy Commissioner of Canada;provincial information and privacy commissioners;Innovation, Science and Economic Development Canada, the Department of Canadian Heritage, and the Competition Bureau Canada Because Zuckerberg is, in his way, a ruler over a domain far larger than any single country (at the time of writing, Facebook has over 2 billion monthly active users), his actions might be read through the lens of political leadership",2020,"Bannerman, Sara Baade Christina Bivens Rena Shade Leslie Regan Shepherd Tamara Zeffiro Andrea",Canadian Journal of Communication,,#955111,,,,,224861460.0
257659,c641887y,,WHO,Drastic times need drastic measures: COVID-19 and widening access to medicine,,,,unk,"In response to COVID-19, schools, colleges and universities across the world have closed or shifted to online/remote or blended teaching, learning and assessment. These changed ways of working pose challenges to students and will likely exacerbate existing educational attainment gaps between different societal groups. Our focus is the potential impact of COVID-19 on widening access to medicine. We provide an account of the process, in the form of comparative cases, of applying for medical school for two applicants from differing backgrounds. Three challenges were identified: family circumstances and support (financial security and parental educational support); staying connected (access to educational material, technology and Wifi); getting the grades and meeting other entry criteria (predicting grades and work experience). We propose that medical schools adopt drastic measures to protect widening access including increasing the use of aptitude tests, contextualised admissions, online multiple mini interviews (MMIs), creative outreach and promotion of alternative means of gaining relevant experience.",2020,"Smith, Katherine Gibson; Cleland, Jennifer",J R Coll Physicians Edinb,,#1038725,,,,,231649467.0
148233,2r96uesi,,WHO,[The disaster task force medical officer as a pivotal decision maker in the superordinate pandemic hospital capacity management : A field report covering the initial COVID-19 surge in a Bavarian district],,,,unk,"BACKGROUND AND OBJECTIVE: During the initial phase of the COVID-19 pandemic the government of the state of Bavaria, Germany, declared a state of emergency for its entire territory for the first time in history Some areas in eastern Bavaria were among the most severely affected communities in Germany, prompting authorities and hospitals to build up capacities for a surge of COVID-19 patients In some areas, intensive care unit (ICU) capacities were heavily engaged, which occasionally made a redistribution of patients necessary MATERIAL AND METHODS: For managing COVID-19-related hospital capacities and patient allocation, crisis management squads in Bavaria were expanded by disaster task force medical officers (""Ärztlicher Leiter Führungsgruppe Katastrophenschutz"" [MO]) with substantial executive authority The authors report their experiences as MO concerning the superordinate patient allocation management in the district of Upper Palatinate (Oberpfalz) in eastern Bavaria RESULTS: By abandoning routine patient care and building up additional ICU resources, surge capacity for the treatment of COVID-19 patients was generated in hospitals In parts of the Oberpfalz, ICU capacities were almost entirely occupied by patients with corona virus infections, making reallocation to other hospitals within the district and beyond necessary The MO managed patient pathways in an escalating manner by defining local (within the region of responsibility of a single MO), regional (within the district), and cross-regional (over district borders) reallocation lanes, as needed When regional or cross-regional reallocation lanes had to be established, an additional management level located at the district government was involved Within the determined reallocation lanes, emitting and receiving hospitals mutually agreed on any patient transfer without explicitly involving the MO, thereby maintaining the established interhospital routine transfer procedures The number of patients and available treatment resources at each hospital were monitored with the help of a web-based treatment capacity registry If indicated, reallocation lanes were dynamically revised according to the present situation To oppose further virus spreading in nursing homes, the state government prohibited patient allocation to these facilities, which led to considerably longer hospital length of stay of convalescent elderly and/or dependent patients In parallel to the flattening of the COVID-19 incidence curve, routine hospital patient care could be re-established in a stepwise manner CONCLUSION: Patient allocation during the state of emergency by the MO sought to keep up routine interhospital reallocation procedures as much as possible, thereby reducing management time and effort Occasionally, difficulties were observed during patient allocations crossing district borders, if other MO followed different management principles The nursing home blockade and conflicting financial interests of hospitals posed challenges to the work of the disaster task force medical officers",2021,"Dittmar, M. S.; Altmeppen, J.; Bigalke, M. U.; Niedermirtl, F.; Zimmermann, M.",Anaesthesist,,#1018217,,,,,231576565.0
324132,7tyb1x36,0f4ab66bc51c4a1e36d72885fbf9ac7f9e38a768,BioRxiv; WHO,Two mutations in the SARS-CoV-2 spike protein and RNA polymerase complex are associated with COVID-19 mortality risk,10.1101/2020.11.17.386714,,,biorxiv,"Background SARS-CoV-2 mortality has been extensively studied in relation to host susceptibility. How sequence variations in the SARS-CoV-2 genome affect pathogenicity is poorly understood. Whole-genome sequencing (WGS) of the virus with death in SARS-CoV-2 patients is one potential method of early identification of highly pathogenic strains to target for containment. Methods We analyzed 7,548 single stranded RNA-genomes of SARS-CoV-2 patients in the GISAID database (Elbe and Buckland-Merrett, 2017; Shu and McCauley, 2017) and associated variants with reported patient’s health status from COVID-19, i.e. deceased versus non-deceased. We probed each locus of the single stranded RNA of the SARS-CoV-2 virus for direct association with host/patient mortality using a logistic regression. Results In total, evaluating 29,891 loci of the viral genome for association with patient/host mortality, two loci, at 12,053bp and 25,088bp, achieved genome-wide significance (p-values of 4.09e-09 and 4.41e-23, respectively). Conclusions Mutations at 25,088bp occur in the S2 subunit of the SARS-CoV-2 spike protein, which plays a key role in viral entry of target host cells. Additionally, mutations at 12,053bp are within the ORF1ab gene, in a region encoding for the protein nsp7, which is necessary to form the RNA polymerase complex responsible for viral replication and transcription. Both mutations altered amino acid coding sequences, potentially imposing structural changes that could enhance viral infectivity and symptom severity, and may be important to consider as targets for therapeutic development. Identification of these highly significant associations, unlikely to occur by chance, may assist with COVID-19 early containment of strains that are potentially highly pathogenic.",2020-12-15,"Hahn, Georg; Wu, Chloe M.; Lee, Sanghun; Hecker, Julian; Lutz, Sharon M.; Haneuse, Sebastien; Qiao, Dandi; DeMeo, Dawn; Choudhary, Manish C.; Etemad, Behzad; Mohammadi, Abbas; Esmaeilzadeh, Elmira; Cho, Michael H.; Tanzi, Rudolph E.; Li, Jonathan Z.; Randolph, Adrienne G.; Laird, Nan M.; Weiss, Scott T.; Silverman, Edwin K.; Ribbeck, Katharina; Lange, Christoph",bioRxiv,,,,document_parses/pdf_json/0f4ab66bc51c4a1e36d72885fbf9ac7f9e38a768.json,,https://doi.org/10.1101/2020.11.17.386714,227231429.0
256175,mb6da6o6,,WHO,Single-cell transcriptomics identifies multiple pathways underlying antitumor function of TCR- and CD8αß-engineered human CD4+ T cells,,,,unk,"Transgenic coexpression of a class I-restricted tumor antigen-specific T cell receptor (TCR) and CD8&#945;ß (TCR8) redirects antigen specificity of CD4+ T cells. Reinforcement of biophysical properties and early TCR signaling explain how redirected CD4+ T cells recognize target cells, but the transcriptional basis for their acquired antitumor function remains elusive. We, therefore, interrogated redirected human CD4+ and CD8+ T cells by single-cell RNA sequencing and characterized them experimentally in bulk and single-cell assays and a mouse xenograft model. TCR8 expression enhanced CD8+ T cell function and preserved less differentiated CD4+ and CD8+ T cells after tumor challenge. TCR8+CD4+ T cells were most potent by activating multiple transcriptional programs associated with enhanced antitumor function. We found sustained activation of cytotoxicity, costimulation, oxidative phosphorylation- and proliferation-related genes, and simultaneously reduced differentiation and exhaustion. Our study identifies molecular features of TCR8 expression that can guide the development of enhanced immunotherapies.",2020,"Rath, Jan A; Bajwa, Gagan; Carreres, Benoit; Hoyer, Elisabeth; Gruber, Isabelle; Martínez-Paniagua, Melisa A; Yu, Yi-Ru; Nouraee, Nazila; Sadeghi, Fatemeh; Wu, Mengfen; Wang, Tao; Hebeisen, Michael; Rufer, Nathalie; Varadarajan, Navin; Ho, Ping-Chih; Brenner, Malcolm K; Gfeller, David; Arber, Caroline",Sci. Adv,,#32937466,,,,,220366351.0
436124,2f2itlb7,7e48150ff750b3951fb3e1f254a56e833535d703,Medline; PMC,Drive-through Satellite Testing: An Efficient Precautionary Method of Screening Patients for SARS-CoV-2 in a Rural Healthcare Setting,10.1177/2150132720947963,PMC7412891,32757817.0,cc-by-nc,"The first documented case of COVID-19 in the United States occurred on January 30th, 2020. Soon after, a global pandemic was declared in March 2020 with each state issuing stay at home orders based on population, risk for community transmission and current number of positive cases. A priority for each region was to develop efficient systems for testing large patient volumes in a safe manner to reduce the risk of community transmission. A community based United States health care system in the upper mid-west implemented a drive through testing site in an attempt to divert suspected cases of COVID-19 away from larger patient areas while protecting staff and patients. This commentary outlines the planning, work flow and challenges of implementing this drive through testing site in a rural community setting.",2020-08-06,"Molling, Paul E.; Holst, Tanner T.; Anderson, Benjamin G.; Fitzgerald, Kevin; Eddy, Megan; Weber, Bradley D.; Schwan, Brenda; Heiderscheit, Chris J.; Jagim, Andrew R.",J Prim Care Community Health,,,,document_parses/pdf_json/7e48150ff750b3951fb3e1f254a56e833535d703.json,document_parses/pmc_json/PMC7412891.xml.json,https://doi.org/10.1177/2150132720947963; https://www.ncbi.nlm.nih.gov/pubmed/32757817/,221036954.0
343524,o4libq5d,7266321f4db0770e78d57704105422673e651610,MedRxiv; WHO,On Linear Growth in COVID-19 Cases,10.1101/2020.06.19.20135640,,,medrxiv,"We present an elementary model of COVID-19 propagation that makes explicit the connection between testing strategies and rates of transmission and the linear growth in new cases observed in many parts of the world. An essential feature of the model is that it captures the population-level response to the infection statistics information provided by governments and other organisations. The conclusions from this model have important implications regarding benefits of wide-spread testing for the presence of the virus, something that deserves greater attention.",2020-06-22,"Grinfeld, M.; Mulheran, P. A.",,,,,document_parses/pdf_json/7266321f4db0770e78d57704105422673e651610.json,,http://medrxiv.org/cgi/content/short/2020.06.19.20135640v1?rss=1; https://doi.org/10.1101/2020.06.19.20135640,219958357.0
200917,1mfott0o,,WHO,The COVID-19 Trial Finder,,,,unk,"Clinical trials are the gold standard for generating reliable medical evidence. The biggest bottleneck in clinical trials is recruitment. To facilitate recruitment, tools for patient search of relevant clinical trials have been developed, but users often suffer from information overload. With nearly 700 COVID-19 trials conducted in the United States as of August 2020, it is imperative to enable rapid recruitment to these studies. The COVID-19 Trial Finder was designed to facilitate patient-centered search of COVID-19 trials, first by location and radius distance from trial sites, and then by brief, dynamically-generated medical questions to allow users to pre-screen their eligibility for nearby COVID-19 trials with minimum human computer interaction. A simulation study using 20 publicly available patient case reports demonstrates its precision and effectiveness.",2020,"Sun, Yingcheng; Butler, Alex; Lin, Fengyang; Liu, Hao; Stewart, Latoya A; Kim, Jae Hyun; Idnay, Betina Ross S; Ge, Qingyin; Wei, Xinyi; Liu, Cong; Yuan, Chi; Weng, Chunhua",J. am. med. inform. assoc,,#936404,,,,,227080133.0
