cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
5kf80xs5,,WHO,Data-Driven Insights on the Effects of COVID-19 on Public Interest in Medical Aesthetics: Part II (Active Analysis),,,,unk,"BACKGROUND: The COVID-19 pandemic significantly affected financial and psychosocial factors that influence plastic surgery demand. OBJECTIVES: The authors sought to actively assess public interest changes and the reasons underlying these shifts. METHODS: Using Amazons' Mechanical Turk, we crowdsourced public opinions regarding aesthetic interventions from April 30 to May 3, 2020. The survey assessed prior experience with and interest in 6 aesthetic interventions before and during the pandemic and reasons for changing interest. United States residents aged 18 years and over who passed the attention check were included. RESULTS: We included 704 of 838 total responses. One-half of respondents were female; the median age group was 25 to 34 years. During the pandemic, 21% of respondents had increased and 33% decreased interest in at least one intervention. Non-invasive procedures (7.3%), facial aesthetic surgery (6.6%), and medical-grade skincare (5.9%) elicited the greatest interest increase. Seeing themselves in the mirror more often (43.2%), desire to look better after the crisis (41.8%), and increased time on social media (40.4%) were the top reasons for increased interest. The most common reasons for decreased interest were changing spending priorities (58%), focusing on other health aspects (49.8%), and worrying about infection in medical facilities (46.3%). Almost one-half of respondents considered virtual consultations for interventions of increased interest. CONCLUSIONS: The COVID-19 pandemic significantly affected interest in medical aesthetics. Offering telemedicine and discussing detailed COVID-19 infection control policies with patients will be critical to address patient needs and concerns. These findings can be used to improve patient outreach, advertisement, and counseling as practices focus on reopening.",2020,"Jenny, Hillary E; Chandawarkar, Akash; Kim, Roy",Aesthet. surg. j,,#892072,,,,,225083793.0
ef5bkoqj,,Elsevier; PMC,Robotic Radical Trachelectomy Using the Double Bipolar Method- Aiming for a Bloodless Operative Field,10.1016/j.jmig.2020.08.180,PMC7571960,,els-covid,"Study Objective To report the application of the double bipolar technique in a patient with 1b1 cervical cancer who wished to preserve her fertility potential. Design After experiencing 105 cases of laparoscopic and robotic radical trachelectomy with a 5 year survival rate of 98% and the birth of 29 babies from 51 of these patients who attempted pregnancy, we introduced the double bipolar method to overcome technical difficulties of the procedure due to the necessity for precise dissection and reconstruction in the deep pelvis. We will show our operative techniques, such as nerve sparing radical trachelectomy and retroperitoneal lymphadenectomy for early invasive cervical cancer in a bloodless operative field. Setting Urban general hospital. Patients or Participants Robotic radical trachelectomy using the double bipolar method was performed in three patients with 1b1 cervical cancer. Interventions After Robotic radical trachelectomy using monopolar scissors in 30 cases of stage Ib1 cervical cancer, we considered techniques for a more bloodless operative field. The double bipolar method (DBM) was originated by a robotic gastrointestinal surgeon, Prof Ichiro Uyama. Using robotic Maryland forceps as a cutting device allows for pinpoint accuracy that cannot be found in other instruments. It is important for bladder and ureteral dissection and exposure of vessels. Cuts are made at a very limited point by a lightning strike mechanism, meaning there is minimal thermal spread to adjacent organs. Measurements and Main Results Blood loss was 250ml in the cases presented. In surgeries not using the DBM(n=34), the blood loss ranged from 350ml(100-1200ml). While there is no supporting data, the dissection of the ureter was very smooth. Conclusion A bloodless operative field allows for accurate dissection and can prevent intraoperative injuries. The double bipolar method is able to provide precision cutting and limit thermal spread to adjacent tissue, reducing injury and allowing for a clear operative field.",2020-12-31,"Andou, M.; Kanno, K.; Sawada, M.",Journal of Minimally Invasive Gynecology,,,,,,https://www.sciencedirect.com/science/article/pii/S1553465020305707; https://api.elsevier.com/content/article/pii/S1553465020305707,224769563.0
tveg20vg,6cefda1342bf5d8b0b40c738be6351f222b2a105,Medline; PMC,Recognize fish as food in policy discourse and development funding,10.1007/s13280-020-01451-4,PMC7811336,33454882.0,cc-by,"The international development community is off-track from meeting targets for alleviating global malnutrition. Meanwhile, there is growing consensus across scientific disciplines that fish plays a crucial role in food and nutrition security. However, this ‘fish as food’ perspective has yet to translate into policy and development funding priorities. We argue that the traditional framing of fish as a natural resource emphasizes economic development and biodiversity conservation objectives, whereas situating fish within a food systems perspective can lead to innovative policies and investments that promote nutrition-sensitive and socially equitable capture fisheries and aquaculture. This paper highlights four pillars of research needs and policy directions toward this end. Ultimately, recognizing and working to enhance the role of fish in alleviating hunger and malnutrition can provide an additional long-term development incentive, beyond revenue generation and biodiversity conservation, for governments, international development organizations, and society more broadly to invest in the sustainability of capture fisheries and aquaculture. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (10.1007/s13280-020-01451-4) contains supplementary material, which is available to authorized users.",2021-01-16,"Bennett, Abigail; Basurto, Xavier; Virdin, John; Lin, Xinyan; Betances, Samantha J.; Smith, Martin D.; Allison, Edward H.; Best, Barbara A.; Brownell, Kelly D.; Campbell, Lisa M.; Golden, Christopher D.; Havice, Elizabeth; Hicks, Christina C.; Jacques, Peter J.; Kleisner, Kristin; Lindquist, Niels; Lobo, Rafaella; Murray, Grant D.; Nowlin, Michelle; Patil, Pawan G.; Rader, Douglas N.; Roady, Stephen E.; Thilsted, Shakuntala H.; Zoubek, Sarah",Ambio,,,,document_parses/pdf_json/6cefda1342bf5d8b0b40c738be6351f222b2a105.json,document_parses/pmc_json/PMC7811336.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/33454882/; https://doi.org/10.1007/s13280-020-01451-4,231633342.0
o8sry597,3db8fd409ee1cace68d3b2f5cee044cd5930d4c3,Medline; PMC,Chewie Nomenclature Server (chewie-NS): a deployable nomenclature server for easy sharing of core and whole genome MLST schemas,10.1093/nar/gkaa889,PMC7778912,33068420.0,cc-by,"Chewie Nomenclature Server (chewie-NS, https://chewbbaca.online/) allows users to share genome-based gene-by-gene typing schemas and to maintain a common nomenclature, simplifying the comparison of results. The combination between local analyses and a public repository of allelic data strikes a balance between potential confidentiality issues and the need to compare results. The possibility of deploying private instances of chewie-NS facilitates the creation of nomenclature servers with a restricted user base to allow compliance with the strictest data policies. Chewie-NS allows users to easily share their own schemas and to explore publicly available schemas, including informative statistics on schemas and loci presented in interactive charts and tables. Users can retrieve all the information necessary to run a schema locally or all the alleles identified at a particular locus. The integration with the chewBBACA suite enables users to directly upload new schemas to chewie-NS, download existing schemas and synchronize local and remote schemas from chewBBACA command line version, allowing an easier integration into high-throughput analysis pipelines. The same REST API linking chewie-NS and the chewBBACA suite supports the interaction of other interfaces or pipelines with the databases available at chewie-NS, facilitating the reusability of the stored data.",2020-10-17,"Mamede, Rafael; Vila-Cerqueira, Pedro; Silva, Mickael; Carriço, João A; Ramirez, Mário",Nucleic Acids Res,,,,document_parses/pdf_json/3db8fd409ee1cace68d3b2f5cee044cd5930d4c3.json,document_parses/pmc_json/PMC7778912.xml.json,https://doi.org/10.1093/nar/gkaa889; https://www.ncbi.nlm.nih.gov/pubmed/33068420/,224318909.0
zqxjo342,,WHO,"Serbia in the time of COVID-19: between “corona diplomacy”, tough measures and migration management",,,,unk,"The paper analyzes the specificities of Serbia’s response to coronavirus. Two most important issues during the pandemic were the role of the State and the management of migration flows. Being placed in the China–Russia–EU triangle shaped the response on the crises but also the image of the country in the world. Two phenomena shaped mobility patterns. Citizens returning from abroad were caught between accusations of spreading the virus and a plea for healthcare and other key workers from the Serbian diaspora to help in Serbia. The issue of refugees and migrants attracted significant amounts of positive public attention, but in parallel with that xenophobia arose as a new attitude as part of aggressive campaigns against them.",2020,"Šantić, Danica; Antić, Marija",Eurasian Geogr. Econ.,,#599975,,,,,225660144.0
ifn0vh1s,,Medline,Pathogenesis of chimeric MHV4/MHV-A59 recombinant viruses: the murine coronavirus spike protein is a major determinant of neurovirulence.,,,10438865.0,unk,"The mouse hepatitis virus (MHV) spike glycoprotein, S, has been implicated as a major determinant of viral pathogenesis. In the absence of a full-length molecular clone, however, it has been difficult to address the role of individual viral genes in pathogenesis. By using targeted RNA recombination to introduce the S gene of MHV4, a highly neurovirulent strain, into the genome of MHV-A59, a mildly neurovirulent strain, we have been able to directly address the role of the S gene in neurovirulence. In cell culture, the recombinants containing the MHV4 S gene, S4R22 and S4R21, exhibited a small-plaque phenotype and replicated to low levels, similar to wild-type MHV4. Intracranial inoculation of C57BL/6 mice with S4R22 and S4R21 revealed a marked alteration in pathogenesis. Relative to wild-type control recombinant viruses (wtR13 and wtR9), containing the MHV-A59 S gene, the MHV4 S gene recombinants exhibited a dramatic increase in virulence and an increase in both viral antigen staining and inflammation in the central nervous system. There was not, however, an increase in the level of viral replication in the brain. These studies demonstrate that the MHV4 S gene alone is sufficient to confer a highly neurovirulent phenotype to a recombinant virus deriving the remainder of its genome from a mildly neurovirulent virus, MHV-A59. This definitively confirms previous findings, suggesting that the spike is a major determinant of pathogenesis.",1999,"Phillips, J J; Chua, M M; Lavi, E; Weiss, S R",Journal of virology,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/10438865/,25337050.0
5ffmhech,,Medline,Esophagus two-step-cut overlap method in esophagojejunostomy after laparoscopic gastrectomy.,10.1007/s00423-021-02079-y,,33420833.0,unk,"PURPOSE Esophagojejunostomy is a challenging step in laparoscopic gastrectomy. Although the overlap method is a safe and feasible approach for esophagojejunostomy, it has several technical limitations. We developed novel modifications for the overlap method to overcome these disadvantages. METHODS Forty-eight consecutive gastric cancer patients underwent totally laparoscopic total gastrectomy or laparoscopic proximal gastrectomy with double-tract reconstruction at our institution from January 2019 to April 2020 using the overlap method with the following modifications. The esophagus was initially rotated by 90° counterclockwise, followed by transection of two-thirds of the esophageal diameter. The unstapled esophagus was then transected with a harmonic ultrasonic scalpel to enable esophagostomy at the posterior side of the esophagus. A side-to-side esophagojejunostomy was then formed at the posterior side of the esophagus using an endoscopic linear stapler through the right lower trocar. The common entry hole was closed via hand sewing method using V-Loc suture. This procedure was termed ""esophagus two-step-cut overlap method."" RESULTS Only one patient suffered from esophagojejunal anastomotic leakage but subsequently recovered after conservative treatment. Patients did not experience anastomotic bleeding or stricture. CONCLUSION Our modified overlap method provides satisfactory surgical outcomes and overcomes several technical limitations, such as entering the false lumen of the esophagus, unnecessary pollution caused by nasogastric tube, and unintended left crus stapling during anastomosis.",2021-01-09,"Sun, Ke-Kang; Wang, Zhen; Peng, Wei; Cheng, Ming; Huang, Yi-Kai; Yang, Jia-Bin; Chen, Zheng-Rong; Ren, Rui; Zhu, Bao-Song; Gong, Wei; Su, Wen-Zhao; Liu, Tian-Hua; Zhao, Kui; Chen, Qiang; Wu, Yong-You",Langenbeck's archives of surgery,,,,,,https://doi.org/10.1007/s00423-021-02079-y; https://www.ncbi.nlm.nih.gov/pubmed/33420833/,231300437.0
6p7ve23b,d9ce618ef6a804f2fc4c32f5759b340ff16de69c,Medline; PMC,Cholesterol-modifying drugs in COVID-19,10.1093/oxfimm/iqaa001,PMC7337782,33047740.0,cc-by,"Infection with SARS-CoV-2 is more likely to lead to poor outcomes in the elderly and those with cardiovascular disease, obesity or metabolic syndrome. Here we consider mechanisms by which dyslipidemia and the use of cholesterol-modifying drugs could influence the virus-host relationship. Cholesterol is essential for the assembly, replication and infectivity of enveloped virus particles; we highlight several cholesterol-modifying drugs with the potential to alter the SARS-CoV-2 life cycle that could be tested in in vitro and in vivo models. Although cholesterol is an essential component of immune cell membranes, excess levels can dysregulate protective immunity and promote exaggerated pulmonary and systemic inflammatory responses. Statins block the production of multiple sterols, oxysterols and isoprenoids, resulting in a pleotropic range of context-dependent effects on virus infectivity, immunity and inflammation. We highlight antiviral, immunomodulatory and anti-inflammatory effects of cholesterol-modifying drugs that merit further consideration in the management of SARS-CoV-2 infection.",2020-06-18,"Schmidt, Nathalie M; Wing, Peter A C; McKeating, Jane A; Maini, Mala K",Oxford open immunology,,,,document_parses/pdf_json/d9ce618ef6a804f2fc4c32f5759b340ff16de69c.json,,https://www.ncbi.nlm.nih.gov/pubmed/33047740/; https://doi.org/10.1093/oxfimm/iqaa001,220403727.0
jxpf6y7h,9f830ff987f56f5c43c482623df3ecdd5e1b9b54,Medline; PMC,Erfahrungen aus dem deutschen COVID-19-Register,10.1007/s11560-020-00468-w,PMC7724186,33318770.0,no-cc,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections represent a particular risk for several groups of patients with nephrological diseases. Patients on dialysis represent a particularly vulnerable group during the SARS-CoV‑2 pandemic. Initial data from international registries show a much higher mortality of dialysis patients with SARS-CoV‑2 infections. Because of the substantial differences between the healthcare systems, (state) preventive measures and treatment possibilities etc., in the different countries worldwide, local and national registry data cannot be easily transferred. In order to gain a reliable overview of the prevalence and mortality of dialysis patients with SARS-CoV‑2 infection in Germany, the German Society of Nephrology implemented a national registry for dialysis patients with a SARS-CoV‑2 infection. Within this framework a standardized collection of these data is carried out on a weekly basis, which should enable a real-time overview of the case numbers and perhaps the acquisition of new scientific knowledge. Particularly in the current phase of the pandemic (autumn 2020), which is accompanied by a multiplication of the numbers of daily new-onset cases within only a few weeks, such data are highly relevant for the estimation and adjustment of the personnel, structural and organizational needs as well as the capacities for the treatment of patients.",2020-12-09,"Hoxha, Elion",Nephrologe,,,,document_parses/pdf_json/9f830ff987f56f5c43c482623df3ecdd5e1b9b54.json,document_parses/pmc_json/PMC7724186.xml.json,https://doi.org/10.1007/s11560-020-00468-w; https://www.ncbi.nlm.nih.gov/pubmed/33318770/,229177193.0
ps41luyr,,WHO,Erratum to: Low dose of hydroxychloroquine reduces fatality of critically ill patients with COVID-19,,,,unk,"1. In the abstract, we missed a piece of information. The correct sentence should be ""In this retrospective study, we included 550 critically ill COVID-19 patients who need mechanical ventilation (63.5%) and oxygen therapy (35.6%) in Tongji Hospital, Wuhan, from February 1, 2020 to April 4, 2020."" 2. We mistakenly put an approval number from Tongji Hospital ethics committee in the paper (IRBID: TJ-C20200113). The correct number should be TJ-IRB20200229. 3. We mistakenly filled some data in Table 1 and the correct Table 1 (the corrected data are in boldface) should be as follows.",2020,"Yu, Bo; Li, Chenze; Chen, Peng; Zhou, Ning; Wang, Luyun; Li, Jia; Jiang, Hualiang; Wang, Dao-Wen",Sci China Life Sci,,#625919,,,,,219958453.0
